gene_u,gene_v,bucket_pen,pen_diff,dist_diff,ppr_diff,model_score,composite_score,novelty_weight,confidence,global_rank,rank_in_bucket
RAP1GAP,PHB2,4,0.8019236206825244,0.3649635036496352,-0.0020924814491307,1.6530578307513428,0.9999999999998475,1.0,High,1,1
PIN1,TERF2,4,0.8112628440556247,0.5496350364963507,-0.00167914305241,1.0825171250138172,0.9129563486426824,1.0,High,2,2
MDFI,TERF2,4,0.8479772727272774,0.5675182481751824,-0.0015825678363509,1.019133203082735,0.9032862796244046,1.0,High,3,3
TERF2,STK11,4,0.8186747658152012,0.4452098540145988,-0.0016649743492927,0.991833976555023,0.8991214157815579,1.0,High,4,4
RAP1GAP,CLSPN,4,0.8203402467709306,0.3943886861313865,-0.0024480892932935,0.990190406549708,0.8988706670916133,1.0,High,5,5
PIAS4,TERF2,4,0.8926004601163697,0.4847171532846719,-0.001825636913668,0.9774487450810794,0.8969267554172435,1.0,High,6,6
RAPGEF1,TERF2,4,0.8455516011224411,0.4727189781021899,-0.0017377570190005,0.9774487450810794,0.8969267554172435,1.0,High,7,7
CHEK1,TERF2,4,0.8317583151075096,0.4770529197080293,-0.0015028307585859,0.9377142000333272,0.8908647166333479,1.0,High,8,8
HNF4A,TERF2,4,0.819246748235857,0.5684306569343067,-0.001800704998766,0.8448544122455701,0.8766977081937848,1.0,High,9,9
PRKAA1,TERF2,4,0.8187542318326084,0.5954379562043797,-0.0015632448458578,0.8137761738834932,0.8719563053147621,1.0,High,10,10
PLK4,TERF2,4,0.8249331242520501,0.5437956204379564,-0.0009323430383211,0.7846204489777451,0.8675082076974663,1.0,High,11,11
PHB2,TERF2,4,0.8447773593859438,0.4471715328467156,-0.0009886606000437,0.7233191363820894,0.8581558687185755,1.0,High,12,12
TERF2,FOXA2,4,0.9309127388272048,0.6073448905109493,-0.0020061600503753,0.6011259888161635,0.8395136620749428,1.0,High,13,13
RASGRP3,TERF2,4,0.8330695064581235,0.452189781021898,-0.0020063094993141,0.6011259888161635,0.8395136620749428,1.0,High,14,14
RAP1GAP,PPM1D,4,0.8407263731275432,0.5491332116788326,-0.0021368339441297,0.6011259888161635,0.8395136620749428,1.0,High,15,15
KSR1,FOXA2,4,0.8555580798910487,0.6453467153284667,-0.0022244467839902,0.6011259888161635,0.8395136620749428,1.0,High,16,16
TERF2,SIPA1,4,0.8600706784137273,0.4780109489051098,-0.0020314471266942,0.6011259888161635,0.8395136620749428,1.0,High,17,17
KSR1,TERF2,4,0.934261009780042,0.6412864963503648,-0.0020922515709355,0.6011259888161635,0.8395136620749428,1.0,High,18,18
TERF2,PPP2R2A,4,0.7994379523789767,0.4934762773722627,-0.0016449907042246,0.5314295301765091,0.8288805307564386,1.0,High,19,19
PIAS4,FOXA2,4,0.8138975302273757,0.4887773722627742,-0.0019578321267227,0.5066442746136808,0.8250992069660175,1.0,High,20,20
RAP1GAP,MDC1,4,0.8157983885610509,0.5544251824817521,-0.0021859349695482,0.5066442746136808,0.8250992069660175,1.0,High,21,21
PIAS4,KSR1,4,0.8172458011802126,0.5227189781021897,-0.0020439236472828,0.5066442746136808,0.8250992069660175,1.0,High,22,22
CHEK2,TERF2,4,0.8002211405933943,0.5444799270072993,-0.000987924001229,-0.7956946090687015,0.6264099099533,1.0,High,23,23
MDC1,TERF2,4,0.8586521272644685,0.6366332116788325,-0.0010821141204611,-0.8680787325079653,0.6153667392538551,1.0,High,24,24
PPM1D,TERF2,4,0.883580111830959,0.6313412408759129,-0.0010330130950427,-0.8680787325079653,0.6153667392538551,1.0,High,25,25
CLSPN,TERF2,4,0.8631939854743482,0.4765967153284669,-0.0013442684442065,-0.8680787325079653,0.6153667392538551,1.0,High,26,26
DDR1,TERF2,4,0.834902973218334,0.5494525547445255,-0.001071208756714,-0.9494977355573733,0.6029451762627984,1.0,High,27,27
PPM1D,FOXA2,4,0.8048771819419667,0.6354014598540152,-0.0011652083080974,-1.0007433180816543,0.5951269740311589,1.0,High,28,28
DDB1,TERF2,4,0.8220316159781973,0.4817974452554745,-0.0011720008777659,-1.1115483803402348,0.5782221728296792,1.0,High,29,29
YWHAZ,TERF2,4,0.8075095530887504,0.4882299270072994,-0.0012639049449751,-1.435240682906055,0.5288385624260787,1.0,High,30,30
PPM1D,KSR1,4,0.8082254528948027,0.6693430656934307,-0.0012512998286576,-1.435240682906055,0.5288385624260787,1.0,High,31,31
CDCA4,TERF2,4,0.8012591239219269,0.5926094890510951,-0.0010661757775087,-1.541426985037579,0.5126384151470255,1.0,High,32,32
CDK3,TERF2,4,0.7998937481946058,0.623585766423358,-0.0010094217081739,-1.541426985037579,0.5126384151470255,1.0,High,33,33
ARID3A,TERF2,4,0.801541783931004,0.5930656934306571,-0.0010661757775087,-1.541426985037579,0.5126384151470255,1.0,High,34,34
RAP1GAP,RAPGEF1,4,0.8026978624190253,0.3905109489051095,-0.0028415778680875,-1.8156740480024343,0.4707983404698275,1.0,High,35,35
PIAS4,RAP1GAP,4,0.8497467214129513,0.4025091240875915,-0.002929457762755,-1.9384174937916911,0.452072178437539,1.0,High,36,36
RAP1GAP,RHEB,4,0.8286229562992506,0.372445255474453,-0.0038423807074204,-1.9384174937916911,0.452072178437539,1.0,High,37,37
RAP1GAP,SIPA1,4,0.8172169397103097,0.395802919708029,-0.0031352679757812,-2.0796190519466715,0.4305299833311572,1.0,High,38,38
RIT1,INPP5D,4,0.800590985433093,0.4191605839416059,-0.0092802624310987,-2.142817423909292,0.42088822245391405,1.0,High,39,39
MAP2,INPP5D,4,0.8011768910163877,0.4191605839416059,-0.0092802624310987,-2.142817423909292,0.42088822245391405,1.0,High,40,40
PIAS4,ETV5,4,0.8025604568150975,0.3985401459854012,-0.0099738966307428,-2.142817423909292,0.42088822245391405,1.0,High,41,41
TERF2IP,TSC2,4,0.8003838752940169,0.3666058394160583,-0.0054870469406248,-2.142817423909292,0.42088822245391405,1.0,High,42,42
TERF2IP,RASGRP2,4,0.8076880493541925,0.386861313868613,-0.0053656985710708,-2.142817423909292,0.42088822245391405,1.0,High,43,43
INPP5D,RIT2,4,0.800601312260147,0.4191605839416059,-0.0092802624310987,-2.142817423909292,0.42088822245391405,1.0,High,44,44
ETV4,TERF2,4,0.8228110221598541,0.4042427007299269,-0.0100178455528012,-2.2274482510655225,0.40797665253615895,1.0,High,45,45
RASGRF2,TERF2IP,4,0.830239285272139,0.3994069343065689,-0.0054412117177746,-2.2274482510655225,0.40797665253615895,1.0,High,46,46
FOXM1,RIT2,4,0.8034959002187128,0.3469890510948903,-0.007577522457365,-2.3125026646691653,0.3950004588138665,1.0,High,47,47
